"This is a required field.","Kolom ini dibutuhkan"
"Please enter a valid email address. For example johndoe@domain.com.","Silahkan masukan email dengan benar. Contohnya johndoe@domain.com"
"You have no items in your wishlist.","Tidak ada produk dalam wishlist"
"HOME","Home"
"Product Review","Review Produk"
"Write Your Review","Review Produk"
"Search entire store here...","Cari produk disini..."
"Login to your Account","Masuk ke Akun Anda"
"Please fill your registered below to login","Silahkan isi Email dan Password dibawah"
"Password","Password"
"Login / register using your social media account","Login menggunakan akun sosial media anda"
"Forgot Your Password?","Lupa Password?"
"Do not have an account? <em>Create now</em> &amp; catch the awesomeness! ","Belum punya akun? <em>Buat Sekarang</em> &amp; temukan kehebatannya!"
"Cust"
"Create Account","Buat Akun"
"Do not have an account? ","Belum punya Akun?"
"Customer Login","Login Customer"
"Subscribe Newsletter","Berlangganan Newsletter"
"Find Us On","Temukan Kami"
"Confirm Password","Konfirmasi Password"
"Create your new account","Buat Akun Anda"
"Register using your social media account","Daftar dengan sosial media anda"
"Please fill the form below. All filed is need to be filled.","Silahkan isi kolom berikut"
"Your First Name","Nama Depan Kamu"
"Your Last Name","Nama Belakang Kamu"
"Your Email Address","Alamat Email Kamu"
"Create Your Password","Ketikan Password Kamu"
"Retype your new password","Ketik Ulang Password Kamu"
"Subscribe our newsletter","Berlangganan Newsletter"
"Already have an account?","Sudah punya akun?"
"Create New Customer Account","Registrasi Akun Baru"
"Submit","Kirim"
"My Product Reviews","Produk reviewku"
"Newsletter Subscriptions","Berlangganan Newsletter"
"Recent Orders","Pesanan Terkini"
"Change Password","Ganti Password"
"Default Billing Address","Default Alamat Billing"
"Default Shipping Address","Default Alamat Pengiriman"
"Manage Addresses","Kelola Alamat"
"Change Password","Ganti Password"
"Address Book","Daftar Alamat"
"Sort By","Urutkan"
"Filter Product","Filter Produk"
"Show","Tampilkan"
"%s Item(s)","%s Produk"
"Shopping Cart","My Shopping Bag"
"Enter your coupon code if you have one.","Masukan voucher code disini, jika kamu punya"
"Please login to create an order or you can use social media account","Silahkan login untuk melanjutkan pemesanan atau kamu juga bisa login menggunakan akun sosial media"
"Chekout using your social media account","Checkout menggunakan akun sosial media"
"Checkout","Checkout"
"Do you want Create an account?","Ingin buat akun?"
"Password","Password"
"Register here","Daftar disini"
"Ship to this address","Kirim ke alamat ini"
"Ship to different address","Kirim ke alamat yang berbeda"
"Street Address2","Alamat 2"
"State\/Province","Provinsi"
"* Required Fields","* Harus diisi"
"Order Review","Review Pesanan Anda"
"Shipping Information","Informasi Alamat Pengiriman"
"Billing Information","Informasi Alamat Penagihan"
"Account","Akun"
"Hello, %s!","Halo, %s!"
"Edit Address","Ubah Alamat"
"Edit","Ubah"
"* Required Fields","* Wajib Diisi"
"Facebook Account","Akun Facebook"
"Google Account","Akun Google"
"Shopping Cart is Empty","Bag Anda Masih Kosong"
"You have no items in your shopping cart.","Isi Bag anda masih kosong."
"This is a required field.","Kolom ini wajib diisi"
"Google Connect","Hubungkan Akun Google"
"You can connect store account with your Google account so you could login easier in the future.","Kamu bisa hubungkan dengan akun Google kamu, agar kamu bisa login dengan mudah dikemudian hari"
"Facebook Connect","Hubungkan Akun Facebook"
"You can connect store account with your Facebook account so you could login easier in the future.","Kamu bisa hubungkan dengan akun Facebook kamu, agar kamu bisa login dengan mudah dikemudian hari"
"Mage_Newsletter::This email address is already assigned to another user.","Alamat ini sudah terdaftar berlangganan newsletter"
"There was a problem with the subscription: %s","Ada masalah dengan pendaftaran: %s"
"Thank you for your subscription.","Terima kasih sudah mendaftar"
"Mage_Core::This is a required field.","Kolom ini wajib diisi"
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Kamu saat ini login menggunakan akun Facebook"
"You have successfully logged in using your Facebook account.","Kamu saat ini login menggunakan akun Facebook"
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Kamu saat ini login menggunakan akun Google"
"You have successfully logged in using your Google account.","Kamu saat ini login menggunakan akun Google"
"Login and password are required.","Alamat Email dan Password harus diisi"
"Cannot save the customer.","Data customer tidak bisa disimpan"
"Invalid customer data","Data customer salah"
"Please, check your email for confirmation key.","Mohon cek email anda untuk konfirmasi"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Jika ada akun %s anda akan menerima link reset password."
"Please enter your email.","Email harap diisi"
"Your password reset link has expired.","Link reset password anda telah expired"
"New password field cannot be empty.","Kolom pasword baru tidak boleh kosong"
"Your password has been updated.","Password anda baru saja diganti."
"Cannot save a new password.","Tidak bisa menyimpan password baru"
"Invalid password reset token.","Token reset password salah."
"Wrong customer account specified.","Ada kesalahan pada akun"
"Your password reset link has expired.","Link reset password anda telah expired"
"Reset a Password","Reset Password"
"Mage_Core::Please enter a valid number in this field.","Isi kolom ini hanya dengan angka"
"Mage_Customer::Add New Address","Tambah Alamat Baru"
"Mage_Customer::Current Password","Password Saat Ini"
